userName,at,content,score,thumbsUpCount,content_processed_FINAL
Aflaha Mukmin S,10/21/2025 7:31,terkena ban tanpa alasan.,1,0,kena ban alas
Faiz Naufal,10/21/2025 4:58,server not godd,1,0,server not godd
Zaidan,10/21/2025 2:25,server jembot,1,0,server jembot
Mohamad Sudar,10/21/2025 2:14,"semakin lama, semakin gak bisa login gak ngerti lagi sama ubisoft apa indonesia sudah tidak boleh memainkan growtopia? padahal dulu lancar-lancar saja jika mau bermain growtopia kenapa sekarang susah banget ya",1,0,login ngerti ubisoft indonesia main lancarlancar main susah banget
Abraham Panjaitan,10/21/2025 2:00,saya menonton iklan 3x untuk pet battle heal dan saya tidak mendapat kan reward nya,1,8,tonton iklan pet battle heal reward
Iyan_7,10/20/2025 20:09,streess pas log drama mulu,1,0,streess pas login drama mulu
Lili Indrawati,10/20/2025 19:35,server nyaa tolong do perbaiki lagi sama bot spam nya banyak banget tambah mods kalo bisaa yaa,1,2,server nyaa tolong do baik bot spam banget mods bisaa yaa
Arfianto Prastyo Wibowo,10/20/2025 15:52,"udahlah pake login kek dulu aja, sekarang malah dipersulit mau login aja dipersulit.",1,0,udahlah login sulit login sulit
Muhammad Syafiq,10/20/2025 15:34,"gamenya bagus sih,yang bikin jelek ya karena banyak botnya aja.",5,0,gamenya bagus sihyang jelek bot
Tito Arroshid,10/20/2025 15:30,"sangat memorable, tapi tolong servernya lebih dimantapkan lagi🙌🏻",4,0,memorable tolong servernya mantap
Mhmmd brizqyaja,10/20/2025 15:08,good,5,0,good
Erlan Mnwr,10/20/2025 13:38,fix ur server,1,0,fix ur server
Smug Hatt,10/20/2025 13:04,game burik loading lama bgt dongoo dongo,1,0,game burik loading banget dongoo dongo
Mondes.co. id,10/20/2025 12:49,dead game bad server bruh,1,6,dead game bad server bruh
Wendy,10/20/2025 12:48,game tolollllll,1,2,game tolollllll
LHUTFI SHORT,10/20/2025 12:28,susah login,1,1,susah login
athayanurul hidayah,10/20/2025 11:34,enak banget game-nya,5,0,enak banget gamenya
Nicho Nicholas ryan putra,10/20/2025 10:25,saya suka game ini😁😁,5,0,suka game
Muhammad Azriel Baihaqi,10/20/2025 9:49,please fix the f***n server 🥰🥰🥰,3,0,please fix the fn server
about 23,10/20/2025 8:58,"bad game , this game its not for fun , system banned player no reason , so dont waste your time , gl",1,0,bad game this game its not for fun system banned player no reason so dont waste your time gl
David napu,10/20/2025 8:43,perbaiki lagi server,5,0,baik server
Halby1216E (Albert Einstein),10/20/2025 8:30,🧢,5,0,
Ammar 999,10/20/2025 8:18,gamenya lumayan seru,5,0,gamenya lumayan seru
DA Bz,10/20/2025 7:25,game burik masa windah di ban,1,0,game burik windah ban
3_Bharyo Arriq Valiant_331,10/20/2025 7:25,"gem tolol masuk aja dipersulit,entah using vpn ,error connection,ban temporary,please try again kah,ip keblokir ada aja masalahnya.",1,1,game tolol masuk dipersulitentah using vpn error connectionban temporaryplease try again kahip blokir
Ness Rmx,10/20/2025 7:08,developer taii game samapah delete aja asuu,1,0,developer taii game samapah delete asuu
Saskia M sabri,10/20/2025 6:32,bad game,1,0,bad game
LiiKu,10/20/2025 6:30,buruk dari segi banyak hal. contoh kecil server terlalu buruk,1,0,buruk segi contoh server buruk
Nathan Store,10/20/2025 5:37,game ta1 kebanyakan bot update terus tapi ga pernah ilangin bot,1,0,game ta banyak bot update ilangin bot
Rei Gunawan,10/20/2025 2:45,"mau login aja ribet bgt harus sering login usher name pass, trus disuruh check connection jgn pake vpn pdhl ga ad pake. mau main aja ribet bgt",1,0,login ribet banget login usher name pass trus suruh check connection jgn vpn pdhl ad main ribet banget
Dani Satria,10/20/2025 1:43,"server dh penuh sama bot semua, bahkan trader pun ga sampe 10k gw liat2 di semua trade world plis admin bantu bot singkirin semua bot cuy demi kenyamanan bersama. gw mau login aja susah nya minta ampun padahal sepele bgt cuma mau farming/massing farmable item, gmn mau famous klo isinya bot semua dan itu yg bikin currency gt menurun plis perbaiki growtopia kek dlu🙏",1,0,server penuh bot trader sampe liat trade world plis bantu bot singkirin bot nyaman login susah ampun sepele banget farmingmassing farmable item gmn famous isi bot currency turun plis baik dlu
soul land,10/20/2025 0:28,"server ancur, suka suspen player legal, kalo ga niat ngurus game mending jual ke pihak lain aja yang lebih bertanggung jawab",1,0,server ancur suka suspen player legal niat ngurus game mending jual tanggung
TheDhaniBro,10/19/2025 23:49,"sering bermasalah dari server maupun gameplay. entah kenapa sering dc, ngelag, dan kena pelanggaran vpn padahal aku gak makek vpn sama sekali.",1,15,masalah server gameplay dc ngelag kena langgar vpn makek vpn
FARRE L,10/19/2025 17:49,"i just logged in, why is it taking so long?",1,0,just logged in why is it taking so long
Jonson Oppo,10/19/2025 16:54,akun udah lama gk dimainin pas on mlh dh ke ban dasar game gajelasss udah hapus aja tu game,1,0,akun udah dimainin pas on mlh ban dasar game gajelasss udah hapus tu game
Rezii,10/19/2025 16:53,susah login pake data pake wifi aman aman aja,1,0,susah login data wifi aman aman
Mugen Tsukoyomi,10/19/2025 16:50,can ur back my money.. i wanna quit.. ur server is destroy..,1,2,can ur back my money wan na quit ur server is destroy
Kelvin Yy,10/19/2025 16:50,game kacau ini baru new player udah kena ban permanen.,1,0,game kacau new player udah kena ban permanen
Rafly Akbar,10/19/2025 16:07,super duper very very bad server,1,0,super duper very very bad server
Damar agung wicaksono,10/19/2025 16:02,server buruk,1,0,server buruk
Farid Abil,10/19/2025 15:55,idiot game server lag kontolll,1,0,idiot game server lag kontolll
ozan 12,10/19/2025 15:33,"server lag terus, dikit dikit dc, ercon",1,0,server lag dikit dikit dc ercon
Ruli Gemoy,10/19/2025 15:23,bagus tapi suka gagal login jadi kesel,2,0,bagus suka gagal login kesel
Linda Tandean,10/19/2025 14:44,keren,5,0,keren
Lanapajar,10/19/2025 14:25,tutup dh ini game kebanyakan drama,1,0,tutup game banyak drama
Rumah Ku,10/19/2025 13:39,game yg bgs,1,0,game bgs
Naufal Firdaus,10/19/2025 13:08,masuk world ngeleg,1,0,masuk world ngeleg
Pixel Nihdeck,10/19/2025 12:46,jelek tidak memuaskan masa youtuber aja di banned padahal ga ngapa ngapain,1,0,jelek muas youtuber banned ngapa ngapain
Septian Harry,10/19/2025 12:36,"banyak bot, banyak scammer, banyak hackers, tidak diselesaikan oleh ubisoft. sudah main bertahun tahun membangun kerajaan akhirnya kena hack juga.. tolong keamanan akun player dan server di tingkatkan..",2,0,bot scammer hackers selesai ubisoft main tahun bangun raja kena hack tolong aman akun player server tingkat
Arrien Satoru,10/19/2025 12:15,oi ubi lembu lama banget maintenance ya apan dah,1,0,oi ubi lembu banget maintenance apan
Fata ID,10/19/2025 11:50,aplikasi keren game nya seru beut dah,1,0,aplikasi keren game seru beut
Onag Hh,10/19/2025 11:48,game yang sangat seru,5,2,game seru
Rkinn,10/19/2025 11:48,"permasalahan tentang login, jelek,lama,males main🙄😹😹😹",1,0,masalah login jeleklamamales main
KaDaL Pixel,10/19/2025 11:23,semangat benerin server,4,0,semangat benerin server
Endangstyaningsih,10/19/2025 10:57,"gamenya bagus,tapi saya terkena ban dua akun tanpa alasanya pls saya minto tolong",5,0,gamenya bagustapi kena ban akun alasanya pls minto tolong
HASSO B,10/19/2025 10:23,"trash game lol, gt its dead game in 2025",5,0,trash game lol its dead game in
Claim Item,10/19/2025 10:01,"hello growtopia, i want to ask something. why is it that when i want to play growtopia again after eating, a screen appears that says ""growtopia is under maintenance."" i tried logging out of my account and logging back in, but it's still the same. i tried uninstalling growtopia and downloading it, but it's still the same. what should i do?",5,0,hello want to ask something why is it that when want to play again after eating screen appears that says is under maintenance tried logging out of my account and logging back in but its still the same tried uninstalling and downloading it but its still the same what should do
Andre_ waeee,10/19/2025 10:01,kok bisa kena ban padahal gak main casino tapi alasan ke ban gara gara casino,1,0,kena ban main casino alas ban gara gara casino
Muflih Rasyid,10/19/2025 9:43,mantap game nya bagus tapi scammer banyak,1,0,mantap game bagus scammer
01. AERIO RIZKI BIMA SAPUTRA,10/19/2025 8:28,game busuk windah di ban lu begok,1,0,game busuk windah ban lu begok
Jovandi,10/19/2025 8:24,bgus la,5,0,bgus la
Riskipipit Riskipipit,10/19/2025 7:57,gamenya jelek banget,1,0,gamenya jelek banget
giordano,10/19/2025 7:53,gameny keren dan menyenangkan game ini juga mengajarkan kita banyak hal,5,0,gameny keren senang game ajar
Baca Baca,10/19/2025 7:51,susah banget mau login conection error mulu,1,3,susah banget login conection error mulu
Mahyu din,10/19/2025 6:18,ty for game,5,0,ty for game
Kluyuttt _____,10/19/2025 6:16,huuu,1,0,huuu
Shinjii Hirako,10/19/2025 5:03,dev gblk gada niat perbaiki server banyak bot auto hapus aja ni game,1,0,dev gblk gada niat baik server bot auto hapus game
Agilafk,10/19/2025 4:39,gamenya sangat bagus dan menyenangkan,5,0,gamenya bagus senang
Pp Mm,10/19/2025 3:46,"game jelek mending hapus aja.... !! padahal wifi bagus lancar kok kesalahan jaringan lah, pake vpn lah, perbaiki lah game ini kok jelek amat dalam pemrosesan server dan hapus bot yang ada di server server nya...... !!! malas main kalo beginimah",1,2,game jelek mending hapus wifi bagus lancar salah jaring vpn baik game jelek pemrosesan server hapus bot server server malas main beginimah
DRAGON oskar,10/19/2025 3:41,banyak akun bot yang login,5,0,akun bot login
channel Yuki,10/19/2025 2:29,bot nya yaampun tolong di kondisikan,1,0,bot yaampun tolong kondisi
Herdi Ramadhani,10/19/2025 1:50,game bagus tetapi bukan player yang main bot semua isinya 100k online 80k bot mohon di perbaiki,3,1,game bagus player main bot isi online bot mohon baik
Ersa Andrian,10/19/2025 1:41,fix failed login,1,0,fix failed login
Desen,10/19/2025 1:13,server susah mau tidak guna game hancur banyak bot,1,1,server susah game hancur bot
Ryan Pradana,10/19/2025 0:02,"tiap mau login ada notif ""check your internet and make sure you not using vpn"" lahh gua ga main pake vpn kocak gitu aja trus aneh , benerin lah nih servernya",1,0,login notif check your internet and make sure you not using vpn lahh main vpn kocak trus aneh benerin servernya
Syahrul Ramadhan,10/18/2025 23:28,"kenapa pihak developer membanned akun windah basudara ? jangan beralasan kembalikan dan buka suspend atau banned dari pihak developer,kami akan naikan rating setelahnya.kirim email ke youtuber windah basudara dengan permohonan maaf dan juga hadiah sebagai permohonan maaf seperti item langka dalam game",5,0,developer membanned akun windah basudara alas kembali buka suspend banned developerkami naik rating setelahnyakirim email youtuber windah basudara mohon maaf hadiah mohon maaf item langka game
Riodwiriii Pangestuu,10/18/2025 23:02,server jelek,1,0,server jelek
Wahyu Kurniawan,10/18/2025 22:50,"tolong min sistem loginnya di perbaiki pas mau login selalu eror connection, failed login try again, dituduh using vpn padalah ga tolong la gw mau comeback maen game ini",3,0,tolong sistem loginnya baik pas login eror connection failed login try again tuduh using vpn pada tolong la comeback maen game
Fathir Pasha Ramadhan,10/18/2025 21:04,"woi ubi lembut benerin server lu lah biar player pd enjoy mainnya, mls bgt stiap lgi asik main psti dc, trus tiba tiba ercon apa bgt anj, blom lgi yg ban asal asalan pdhl ga salah tapi kena ban",1,0,ubi lembut benerin server lu biar player pd enjoy main mls banget stiap lgi asik main psti dc trus ercon banget anj blom lgi ban asal pdhl salah kena ban
Muhammad Abyan Hilmy,10/18/2025 20:52,error connection mulu anj,1,0,error connection mulu anjing
"Dignasia Palani Anggari, S. Pd.",10/18/2025 18:41,permai an ini sangat seru,5,0,permai an seru
Rayyan Saputra26,10/18/2025 17:26,"please fix the server to make players enjoy playing, instead of making them bored because of constant disconnects/errcons.",2,0,please fix the server to make players enjoy playing instead of making them bored because of constant disconnectserrcons
Muhammad Raihan Noor,10/18/2025 15:18,aneh mau login aja susah di kira pake vpn kocak,1,0,aneh login susah vpn kocak
Sebastianus Cahyadi,10/18/2025 14:45,good game,5,0,good game
Nabil Yanwar,10/18/2025 14:19,mantap!!!!,5,0,mantap
JunBal Ridho,10/18/2025 14:02,game rusak,1,0,game rusak
Wahyu W.,10/18/2025 12:46,"ada bug yg menurut saya sangat mengganggu ketika ingin chat dengan player lain, suka tiba tiba ilang ngga terkirim chatnya",1,0,bug ganggu chat player suka ilang ngga kirim chatnya
Evening Meo,10/18/2025 12:38,"hapus gt bikin new game mirip seperti growtopia dengan sistem ya g lebih bagus, sistem gt saat ini sangat busuk buruk",1,0,hapus new game sistem bagus sistem busuk buruk
Muhammad Aqso,10/18/2025 12:35,dead game lol don't update this game lol ubisof kontol,5,0,dead game lol dont update this game lol ubisof kontol
Marlia Safitri,10/18/2025 12:31,game aneh aku awal download langsung top up tapi akun ku tiba-tiba di suspend tanpa alasan lemah kali sistem kalian,1,0,game aneh download langsung top up akun ku tibatiba suspend alas lemah kali sistem
Cuk Darkk,10/18/2025 12:20,ayolah server ku cuma mau beli tools aja gk bisa mssuk world karna overload setiap hari ercon ercon trus gimana orang mau suka sama game nya kalo game nya seperti ini susah login ercon server overload cuma gitu gitu aja gk pernah lancar server nya,1,0,ayo server ku beli tools mssuk world karna overload ercon ercon trus gimana orang suka game game susah login ercon server overload lancar server
Rian. Pkt108,10/18/2025 12:15,"kenapa setelah abdet malah hilang semua world balik awal main wl dl spirit toko yang gua bangun hilang semua asli gak masuk akal kali dah, tolong pihak growtopia tanggapi ini hasil kerja gua hilang semua ini",1,0,abdet hilang world main wl dl spirit toko bangun hilang asli masuk akal kali tolong tanggap hasil kerja hilang
Panda Gaming,10/18/2025 11:33,bad server,5,0,bad server
VINN RAZ,10/18/2025 10:59,"game nya bagus cuma servernya , banyak bot gak dibanned plis mods yg digame banned bot spammer",5,1,game bagus servernya bot dibanned plis mods digame banned bot spammer
Ferdian Hendru,10/18/2025 10:32,tolong perbaiki server saya sudah +30hari mencoba login tetapi selalu ada masalah seperti ercon dan lainnya stupit,1,2,tolong baik server coba login ercon stupit
Muammar syarif qadhafy,10/18/2025 8:58,game tolol login aja susah banget semenjak ubisoft yg develop makin aneh ajaa blog,1,1,game tolol login susah banget semenjak ubisoft develop aneh ajaa blog
Nizampontianak,10/18/2025 6:55,i didn't know i was farming and suddenly got suspended. i'll share it on tiktok if i do growtopia very bad and unclear i have topped up but i am in the band tampa witness,1,2,didnt know was farming and suddenly got suspended ill share it on tiktok if do very bad and unclear have topped up but am in the band tampa witness
Yukihira Souma,10/18/2025 6:45,"server sampah ngelag banget,kebanyak bot,dari pada ban nyasar mending ban tuh bot",1,1,server sampah ngelag bangetkebanyak botdari ban nyasar mending ban bot
Lana Lana onyeng,10/18/2025 6:32,"the game is unclear, hopefully it goes bankrupt, 1. my main account was suspended even though i only entered the wrong world csn, 2. even logging in is difficult because of this and that problem, what kind of game is this, it's so unclear",1,0,the game is unclear hopefully it goes bankrupt my main account was suspended even though only entered the wrong world csn even logging in is difficult because of this and that problem what kind of game is this its so unclear
Mhammat Rivai,10/18/2025 6:17,sampah,1,0,sampah
yusril izha mahendra,10/18/2025 6:09,"banyak kendala nya sering di kira guna vpn,sering kena ban nyasar,sering akun limit,tolong di buat lebih baik,saya juga player lama cuman dulu gt ga gini",1,0,kendala vpnsering kena ban nyasarsering akun limittolong baiksaya player cuman gin
fandi ahmad maulana putra Tzy,10/18/2025 5:56,"game bagus server ampas mau login aja hrs di spam try login again nunggu 1 hari 2 hari baru bs login,klo ud bs masuk jg pling cm 10 mnitan abistu dc kena spam try login again lagi,prasaan kalo bot yang login lancar2 aja y??😹",1,2,game bagus server ampas login hrs spam try login again nunggu bs loginklo ud bs masuk jg pling cm mnitan abistu dc kena spam try login again lagiprasaan bot login lancar
Julz,10/18/2025 5:42,"badd serverrr, cant login",1,0,badd serverrr cant login
Agha Putra Ankasa,10/18/2025 4:58,bug eror connecting,1,0,bug eror connecting
Muhammad Idan,10/18/2025 4:22,"game nya ngelag banget semenjak di pegang ubisoft, malah jadi deadgame , saran saya perbahus server saja dulu gausah kaya gini, player banyak yang quit karena server gamenya rusak",1,1,game ngelag banget semenjak pegang ubisoft deadgame saran perbahus server gausah kaya gin player quit server gamenya rusak
Wesley Bong,10/18/2025 2:08,gk bisa login,1,0,login
Qaf Kalijaga,10/18/2025 1:43,"game sampah, developer tolol, mods tolol koruptor, bukannya benerin server tiap hari overload malah ributin world asal suspend akun orang ga bersalah",1,0,game sampah developer tolol mods tolol koruptor benerin server overload ributin world suspend akun orang salah
Nicholas Lin,10/17/2025 23:20,awful servers,1,0,awful servers
Vike Nikke,10/17/2025 22:39,apk erorr,1,0,apk erorr
jumaing 22,10/17/2025 22:06,bagus game nya tapi sering gabisa masuk,4,0,bagus game gabisa masuk
sofa tegar,10/17/2025 21:07,sistem game eror,1,1,sistem game eror
reyhan m. reyhan,10/17/2025 17:14,jelek,1,1,jelek
Pippo Alfauzan,10/17/2025 16:25,"game sampah, login aja kgk bisa",1,0,game sampah login kgk
VA NN,10/17/2025 15:38,benarin server anj,5,0,benarin server anjing
Boboi Boy,10/17/2025 15:35,"okay, fine, why does my account always get banned?",1,0,okay fine why does my account always get banned
Ridho Maulana,10/17/2025 15:07,why am i always stuck on (please try again in 30 seconds) please fix it,1,4,why am always stuck on please try again in seconds please fix it
gibranhalo ya,10/17/2025 14:50,ini bagus banget,5,0,bagus banget
Tugas Situs,10/17/2025 14:07,"harap jangan main ini game moderatornya gak ada otak, masa diem bentar taunya kena ban. jangan lah asal ban tanpa sebab tayi tayi",1,0,harap main game moderator otak diem bentar tau kena ban ban tayi tayi
OKINE STAR SYNDROME,10/17/2025 14:07,game kacaww pokoknya,1,0,game kacaww pokok
Wildansyah,10/17/2025 13:50,"game gajelas susah untuk membuat grow id baru , mod cuek2 gak niat kerja, membuat pemain-pemain lama malas untuk mengulang game kembali",1,1,game gajelas susah grow id mod cuek niat kerja pemainpemain malas ulang game
Susi Tra Dewi,10/17/2025 13:17,game gacor banyak bug😹,2,0,game gacor bug
14. Muhammad Andhika Arr.,10/17/2025 12:27,"tolong, perbaiki server dan bug disini, lalu tolong lebih sering ban bot bot auto farming, jangan ban orang yang tidak bersalah",5,0,tolong baik server bug tolong ban bot bot auto farming ban orang salah
Muhammad Gibran,10/17/2025 11:46,game mantap,5,0,game mantap
Barora Taufa,10/17/2025 11:28,aku seriing terjebak di loading login di tuduh pke vpn lah apalah kita itu cuman mau main game mu ubisoft tolong di benarkan secepatnya bukan nya ngebenrin bug malah update terus sekali lagi tolong secepatnya di benarkan karna kami ini hanya ingin bermain game mu :),1,0,seriing jebak loading login tuduh pke vpn apa cuman main game mu ubisoft tolong benar cepat ngebenrin bug update tolong cepat benar karna main game mu
Yuuki Sann さ,10/17/2025 10:46,"game aneh, mau berantas bot tapi gapernah bisa, csn masih dimana mana, yang jadi korban malah player legal yang mau login malah dituduh make vpn, error login, udah make segala tutor tetep aja gabisa",1,2,game aneh berantas bot gapernah csn mana korban player legal login tuduh make vpn error login udah make tutor tetep gabisa
Rizz Ganzz,10/17/2025 10:46,"game nya overall bagus minus nya di saat masuk ke dalam gamenya, susah dan saya harap pihak growtopia memperbaiki masalah tersebut🙏🙏",5,0,game overall bagus minus masuk gamenya susah harap baik
Liam Lis,10/17/2025 9:42,"bad game , bad server , bad everything in this game, and we can get our account banned even though we haven't done anything wrong (the game is broken)",1,2,bad game bad server bad everything in this game and we can get our account banned even though we havent done anything wrong the game is broken
Tare Kok Haw,10/17/2025 9:36,"permainan yang belum layak beredar!! untuk login aja sulit, sering dc, error, dll. mending hapus aja nih permainan nya, idio0ot.!!",1,0,main layak edar login sulit dc error dll mending hapus main idioot
Ahmad Alfan,10/17/2025 9:05,"please fix the ubisoft game, i can't log in, please delete the pack that has the roulette so that other people don't use it as csn.",1,2,please fix the ubisoft game cant login in please delete the pack that has the roulette so that other people dont use it as csn
Vero Pratama,10/17/2025 8:34,"perbaikiiiii masalah login nya, mau main aja susah banget",1,0,perbaikiiiii login main susah banget
Andre Jhonatan,10/17/2025 8:32,trimakasih,5,0,trimakasih
Reza Rian,10/17/2025 8:17,game busuk. cape cape main di ban,1,0,game busuk cape cape main ban
Tl Gan,10/17/2025 7:31,gak da alasan,1,0,da alas
Koss Kos,10/17/2025 7:27,crazy game,5,0,crazy game
Mrava Musa,10/17/2025 7:26,nggak bisa dimainin oy gagal join server truss🤬😭,1,0,nggak dimainin oy gagal join server truss
Muhammad zulfikri,10/17/2025 7:22,gk bisa main mulu karna kata nya terdekteksi vpn gk jelas,1,0,main mulu karna terdekteksi vpn
KZ.VENOMS,10/17/2025 7:01,tolong perbaiki masalah error connecting dan juga perbaiki server,1,0,tolong baik error connecting baik server
Refan Saja,10/17/2025 6:18,plss bro server update me erro login,1,0,plss bro server update me erro login
farhan Al,10/17/2025 6:08,pls make server better,5,0,pls make server better
Naomi Naf,10/17/2025 5:54,suka tiba - tiba logout sendiri akunnya,1,1,suka logout akun
MUHAMMAD AMRU SYUJA,10/17/2025 5:35,ngga bisaa login,2,0,ngga bisaa login
Kevin Lievius,10/17/2025 5:04,gabisa log in,5,0,gabisa login in
guard gaming,10/17/2025 4:57,game tidak terurus,1,0,game urus
Yandi Aan,10/17/2025 3:46,kenapa ngestuck di please try login again terus,5,0,ngestuck please try login again
Arya Sani,10/17/2025 2:16,tolong di fix servernya kadang ada masalah denagb sistem vpn padalah saya tidak menggunakan vpn apapun. game babi gk ada otak anj,1,12,tolong fix servernya kadang denagb sistem vpn pada vpn apa game babi otak anjing
Zahran Zulfakar,10/17/2025 2:10,"plisss hapus semua bot dan permudah login, susah banget login nya, pliss banget hapus semua data growtopia, ulang seperti dulu lagi",1,0,plisss hapus bot mudah login susah banget login pliss banget hapus data ulang
Wildan Fr,10/17/2025 1:44,"kali ke 2 nya gw kesuspend tanpa alasan yang jelas, gw cuma farming chandelier & buka world ssp, malah ke ban, sekalinya ke suspend juga bisa 200 harian",1,0,kali kesuspend alas farming chandelier buka world ssp ban sekali suspend hari
Fernandes Andrean,10/17/2025 0:39,server make real player cannot login and the bot easy login zz,1,0,server make real player can not login and the bot easy login zz
Salman Vano,10/17/2025 0:29,"boy nya ban napa sih, ngapain sih bot pelihara, nyusahin player doang sama kek dev",2,0,boy ban napa ngapain bot pelihara nyusahin player doang dev
Rachel Adella,10/16/2025 23:29,"makin di update bukannya makin lancar mala tambah parah, nanti dikira pake von lah, dikit dikit error connection. mohon diperbaiki lah biar kayak dulu lagi",1,0,update lancar mala parah von dikit dikit error connection mohon baik biar kayak
Jihan Irfansyah,10/16/2025 20:40,ok,5,0,ok
Adrian Fadillah,10/16/2025 18:36,peak game,5,0,peak game
Muhammad Juliano,10/16/2025 18:34,tolong saya ga bisa login saya tidak memakai vpn sudah 1 jam an login baru masuk eror koneksi terus,1,0,tolong login pakai vpn jam an login masuk eror koneksi
Muhammad Raja,10/16/2025 17:52,"untuk login aja susah, tolong lah. udah game banyak bot, login susah, makin sini malah jadi turun kualitas gamenya.",1,0,login susah tolong udah game bot login susah turun kualitas gamenya
Haryanti Wulan,10/16/2025 17:34,lu tu bukan cuma ngurus item baru urus juga server lu tolol game seru dev nya aja yang bikin emosi,2,0,lu tu ngurus item urus server lu tolol game seru dev emosi
Rellynza rahmanindyo,10/16/2025 17:14,"fix the server ,im tired of error connecting ,but deep down im still in love with this game",1,0,fix the server im tired of error connecting but deep down im still in love with this game
Dasmi Rukmini,10/16/2025 16:59,i can't log in even though my signal is very good. there is a message that says please try logging in again,5,0,cant login in even though my signal is very good there is message that says please try logging in again
RYN07 gaming,10/16/2025 16:53,tolong admin developer growtopia agar mengembalikan cara login seperti dulu karena login yang sekarang bikin susah player dan agar player bermain dengan santai dan jangan lupa balikin login yang seperti dulu,1,2,tolong developer kembali login login susah player player main santai lupa balikin login
Yadik senim,10/16/2025 16:04,game jelek sering ercon/disconnect tololll!!,1,1,game jelek ercondisconnect tololll
Lia Lia,10/16/2025 15:31,tolong lah ini login nya aja susah bnr gmn mau main kalo gini trs dan tolong gmn cara nya geme ini bisa rilis lagi dengan baik dll mungkin sedikit aja makasih,2,0,tolong login susah bnr gmn main gin tolong gmn geme rilis dll makasih
Asan Karman,10/16/2025 13:01,game nya bagus sih tapi mau isi nama player nya agak susah,1,0,game bagus isi nama player susah
ZIZ VOOTMLBB,10/16/2025 12:58,game bagus masa gak di mainin,5,0,game bagus mainin
hazard 16,10/16/2025 12:58,game monyet login ae dipersulit,1,0,game monyet login ae sulit
Stokyo,10/16/2025 11:58,benerin server dlu plis gua dari jam 4 gabisa login,1,0,benerin server dlu plis jam gabisa login
Dicky Andika,10/16/2025 11:21,"please fix the login server. why is it that when i want to log in using google, it always says ""ip address full"" and if i want to log in i have to use wifi and can't use data? please fix it.",1,7,please fix the login server why is it that when want to login in using google it always says ip address full and if want to login in have to use wifi and cant use data please fix it
Muhammad Syafiq,10/16/2025 11:16,tolong lah bod bod nya itu di kurangi dan kalo login susah bener udah login keluar bentar masuk nya susah lagi,5,0,tolong bod bod kurang login susah bener udah login bentar masuk susah
syahdan julian,10/16/2025 10:20,"sangat bagus mengajar kan tentang berdagang,bahasa inggris dan skil hidup yang relate dan penting cuma mohon untuk benerin server nya soalnya kalau mau login kadang susah.",5,0,bagus ajar berdagangbahasa inggris skil hidup relate mohon benerin server login kadang susah
Siau Ling,10/16/2025 9:20,gt ini bagus,5,0,bagus
riyan Afandi,10/16/2025 7:54,aplah saat saya beli dl tiba tiba dl saya hilang,1,0,aplah beli dl dl hilang
RFKY YT,10/16/2025 6:04,game nya burik banget,5,0,game burik banget
Bureido Kun,10/16/2025 5:35,pemain asli malah gabisa login sama sekali giliran bot bisa merajalela,1,0,main asli gabisa login gilir bot rajalela
