userName,at,content,score,thumbsUpCount
Marlia Safitri,10/18/2025 12:31,game aneh aku awal download langsung top up tapi akun ku tiba-tiba di suspend tanpa alasan lemah kali sistem kalian,1,0
Cuk Darkk,10/18/2025 12:20,ayolah server ku cuma mau beli tools aja gk bisa mssuk world karna overload setiap hari ercon ercon trus gimana orang mau suka sama game nya kalo game nya seperti ini susah login ercon server overload cuma gitu gitu aja gk pernah lancar server nya,1,0
Rian. Pkt108,10/18/2025 12:15,"kenapa setelah abdet malah hilang semua world balik awal main wl dl spirit toko yang gua bangun hilang semua asli gak masuk akal kali dah, tolong pihak growtopia tanggapi ini hasil kerja gua hilang semua ini",1,0
Panda Gaming,10/18/2025 11:33,bad server,5,0
VINN RAZ,10/18/2025 10:59,"game nya bagus cuma servernya , banyak bot gak dibanned plis mods yg digame banned bot spammer",5,1
Ferdian Hendru,10/18/2025 10:32,tolong perbaiki server saya sudah +30hari mencoba login tetapi selalu ada masalah seperti ercon dan lainnya stupit,1,2
Muammar syarif qadhafy,10/18/2025 8:58,game tolol login aja susah banget semenjak ubisoft yg develop makin aneh ajaa blog,1,1
Nizampontianak,10/18/2025 6:55,i didn't know i was farming and suddenly got suspended. i'll share it on tiktok if i do growtopia very bad and unclear i have topped up but i am in the band tampa witness,1,2
Yukihira Souma,10/18/2025 6:45,"server sampah ngelag banget,kebanyak bot,dari pada ban nyasar mending ban tuh bot",1,1
Lana Lana onyeng,10/18/2025 6:32,"the game is unclear, hopefully it goes bankrupt, 1. my main account was suspended even though i only entered the wrong world csn, 2. even logging in is difficult because of this and that problem, what kind of game is this, it's so unclear",1,0
Mhammat Rivai,10/18/2025 6:17,sampah,1,0
yusril izha mahendra,10/18/2025 6:09,"banyak kendala nya sering di kira guna vpn,sering kena ban nyasar,sering akun limit,tolong di buat lebih baik,saya juga player lama cuman dulu gt ga gini",1,0
fandi ahmad maulana putra Tzy,10/18/2025 5:56,"game bagus server ampas mau login aja hrs di spam try login again nunggu 1 hari 2 hari baru bs login,klo ud bs masuk jg pling cm 10 mnitan abistu dc kena spam try login again lagi,prasaan kalo bot yang login lancar2 aja y??😹",1,2
Julz,10/18/2025 5:42,"badd serverrr, cant login",1,0
Agha Putra Ankasa,10/18/2025 4:58,bug eror connecting,1,0
Muhammad Idan,10/18/2025 4:22,"game nya ngelag banget semenjak di pegang ubisoft, malah jadi deadgame , saran saya perbahus server saja dulu gausah kaya gini, player banyak yang quit karena server gamenya rusak",1,1
Wesley Bong,10/18/2025 2:08,gk bisa login,1,0
Qaf Kalijaga,10/18/2025 1:43,"game sampah, developer tolol, mods tolol koruptor, bukannya benerin server tiap hari overload malah ributin world asal suspend akun orang ga bersalah",1,0
Nicholas Lin,10/17/2025 23:20,awful servers,1,0
Vike Nikke,10/17/2025 22:39,apk erorr,1,0
jumaing 22,10/17/2025 22:06,bagus game nya tapi sering gabisa masuk,4,0
sofa tegar,10/17/2025 21:07,sistem game eror,1,1
reyhan m. reyhan,10/17/2025 17:14,jelek,1,1
Pippo Alfauzan,10/17/2025 16:25,"game sampah, login aja kgk bisa",1,0
VA NN,10/17/2025 15:38,benarin server anj,5,0
Boboi Boy,10/17/2025 15:35,"okay, fine, why does my account always get banned?",1,0
Ridho Maulana,10/17/2025 15:07,why am i always stuck on (please try again in 30 seconds) please fix it,1,4
gibranhalo ya,10/17/2025 14:50,ini bagus banget,5,0
Tugas Situs,10/17/2025 14:07,"harap jangan main ini game moderatornya gak ada otak, masa diem bentar taunya kena ban. jangan lah asal ban tanpa sebab tayi tayi",1,0
OKINE STAR SYNDROME,10/17/2025 14:07,game kacaww pokoknya,1,0
Wildansyah,10/17/2025 13:50,"game gajelas susah untuk membuat grow id baru , mod cuek2 gak niat kerja, membuat pemain-pemain lama malas untuk mengulang game kembali",1,1
Susi Tra Dewi,10/17/2025 13:17,game gacor banyak bug😹,2,0
14. Muhammad Andhika Arr.,10/17/2025 12:27,"tolong, perbaiki server dan bug disini, lalu tolong lebih sering ban bot bot auto farming, jangan ban orang yang tidak bersalah",5,0
Muhammad Gibran,10/17/2025 11:46,game mantap,5,0
Barora Taufa,10/17/2025 11:28,aku seriing terjebak di loading login di tuduh pke vpn lah apalah kita itu cuman mau main game mu ubisoft tolong di benarkan secepatnya bukan nya ngebenrin bug malah update terus sekali lagi tolong secepatnya di benarkan karna kami ini hanya ingin bermain game mu :),1,0
Yuuki Sann さ,10/17/2025 10:46,"game aneh, mau berantas bot tapi gapernah bisa, csn masih dimana mana, yang jadi korban malah player legal yang mau login malah dituduh make vpn, error login, udah make segala tutor tetep aja gabisa",1,2
Rizz Ganzz,10/17/2025 10:46,"game nya overall bagus minus nya di saat masuk ke dalam gamenya, susah dan saya harap pihak growtopia memperbaiki masalah tersebut🙏🙏",5,0
Liam Lis,10/17/2025 9:42,"bad game , bad server , bad everything in this game, and we can get our account banned even though we haven't done anything wrong (the game is broken)",1,2
Tare Kok Haw,10/17/2025 9:36,"permainan yang belum layak beredar!! untuk login aja sulit, sering dc, error, dll. mending hapus aja nih permainan nya, idio0ot.!!",1,0
Ahmad Alfan,10/17/2025 9:05,"please fix the ubisoft game, i can't log in, please delete the pack that has the roulette so that other people don't use it as csn.",1,2
Vero Pratama,10/17/2025 8:34,"perbaikiiiii masalah login nya, mau main aja susah banget",1,0
Andre Jhonatan,10/17/2025 8:32,trimakasih,5,0
Reza Rian,10/17/2025 8:17,game busuk. cape cape main di ban,1,0
Tl Gan,10/17/2025 7:31,gak da alasan,1,0
Koss Kos,10/17/2025 7:27,crazy game,5,0
Mrava Musa,10/17/2025 7:26,nggak bisa dimainin oy gagal join server truss🤬😭,1,0
Muhammad zulfikri,10/17/2025 7:22,gk bisa main mulu karna kata nya terdekteksi vpn gk jelas,1,0
KZ.VENOMS,10/17/2025 7:01,tolong perbaiki masalah error connecting dan juga perbaiki server,1,0
Refan Saja,10/17/2025 6:18,plss bro server update me erro login,1,0
farhan Al,10/17/2025 6:08,pls make server better,5,0
Naomi Naf,10/17/2025 5:54,suka tiba - tiba logout sendiri akunnya,1,1
MUHAMMAD AMRU SYUJA,10/17/2025 5:35,ngga bisaa login,2,0
Kevin Lievius,10/17/2025 5:04,gabisa log in,5,0
guard gaming,10/17/2025 4:57,game tidak terurus,1,0
Yandi Aan,10/17/2025 3:46,kenapa ngestuck di please try login again terus,5,0
Arya Sani,10/17/2025 2:16,tolong di fix servernya kadang ada masalah denagb sistem vpn padalah saya tidak menggunakan vpn apapun. game babi gk ada otak anj,1,12
Zahran Zulfakar,10/17/2025 2:10,"plisss hapus semua bot dan permudah login, susah banget login nya, pliss banget hapus semua data growtopia, ulang seperti dulu lagi",1,0
Wildan Fr,10/17/2025 1:44,"kali ke 2 nya gw kesuspend tanpa alasan yang jelas, gw cuma farming chandelier & buka world ssp, malah ke ban, sekalinya ke suspend juga bisa 200 harian",1,0
Fernandes Andrean,10/17/2025 0:39,server make real player cannot login and the bot easy login zz,1,0
Salman Vano,10/17/2025 0:29,"boy nya ban napa sih, ngapain sih bot pelihara, nyusahin player doang sama kek dev",2,0
Rachel Adella,10/16/2025 23:29,"makin di update bukannya makin lancar mala tambah parah, nanti dikira pake von lah, dikit dikit error connection. mohon diperbaiki lah biar kayak dulu lagi",1,0
Jihan Irfansyah,10/16/2025 20:40,ok,5,0
Adrian Fadillah,10/16/2025 18:36,peak game,5,0
Muhammad Juliano,10/16/2025 18:34,tolong saya ga bisa login saya tidak memakai vpn sudah 1 jam an login baru masuk eror koneksi terus,1,0
Muhammad Raja,10/16/2025 17:52,"untuk login aja susah, tolong lah. udah game banyak bot, login susah, makin sini malah jadi turun kualitas gamenya.",1,0
Haryanti Wulan,10/16/2025 17:34,lu tu bukan cuma ngurus item baru urus juga server lu tolol game seru dev nya aja yang bikin emosi,2,0
Rellynza rahmanindyo,10/16/2025 17:14,"fix the server ,im tired of error connecting ,but deep down im still in love with this game",1,0
Dasmi Rukmini,10/16/2025 16:59,i can't log in even though my signal is very good. there is a message that says please try logging in again,5,0
RYN07 gaming,10/16/2025 16:53,tolong admin developer growtopia agar mengembalikan cara login seperti dulu karena login yang sekarang bikin susah player dan agar player bermain dengan santai dan jangan lupa balikin login yang seperti dulu,1,2
Yadik senim,10/16/2025 16:04,game jelek sering ercon/disconnect tololll!!,1,1
Lia Lia,10/16/2025 15:31,tolong lah ini login nya aja susah bnr gmn mau main kalo gini trs dan tolong gmn cara nya geme ini bisa rilis lagi dengan baik dll mungkin sedikit aja makasih,2,0
Asan Karman,10/16/2025 13:01,game nya bagus sih tapi mau isi nama player nya agak susah,1,0
ZIZ VOOTMLBB,10/16/2025 12:58,game bagus masa gak di mainin,5,0
hazard 16,10/16/2025 12:58,game monyet login ae dipersulit,1,0
Stokyo,10/16/2025 11:58,benerin server dlu plis gua dari jam 4 gabisa login,1,0
Dicky Andika,10/16/2025 11:21,"please fix the login server. why is it that when i want to log in using google, it always says ""ip address full"" and if i want to log in i have to use wifi and can't use data? please fix it.",1,7
Muhammad Syafiq,10/16/2025 11:16,tolong lah bod bod nya itu di kurangi dan kalo login susah bener udah login keluar bentar masuk nya susah lagi,5,0
syahdan julian,10/16/2025 10:20,"sangat bagus mengajar kan tentang berdagang,bahasa inggris dan skil hidup yang relate dan penting cuma mohon untuk benerin server nya soalnya kalau mau login kadang susah.",5,0
Siau Ling,10/16/2025 9:20,gt ini bagus,5,0
riyan Afandi,10/16/2025 7:54,aplah saat saya beli dl tiba tiba dl saya hilang,1,0
RFKY YT,10/16/2025 6:04,game nya burik banget,5,0
Bureido Kun,10/16/2025 5:35,pemain asli malah gabisa login sama sekali giliran bot bisa merajalela,1,0
Dendra,10/16/2025 5:23,"bug cant login user wifi. the provider my republic can't login there read (try again or use vpn) edited 16 oct. there fix i can log in with wifi next i want this game improved server with unlimited and fix the bot, make new lock more than 100bgl to convert it",5,0
vickerello,10/16/2025 5:14,susah login,1,0
PERCOBAAN 1,10/16/2025 4:41,game tolol banyak judi sama spammer,1,0
Muhammadhilalmuzakki,10/16/2025 3:12,wifi udah 5g masih ga bisa login,1,0
Ali Hasmi,10/16/2025 2:43,"pler gaguna make wifi selalu ""login fail tunggu 30 detik"" udah hubungin support berkali kali masih belum di jawab, udah ancur nambah acur, ubisoft ga niat ngerawat ini game😩",5,54
Riyadhdullatief 01,10/16/2025 2:20,kenapa susah login si,1,0
Master MIUI,10/16/2025 1:24,i love growtopia,5,0
Dasrial Wijaya,10/16/2025 1:09,pihak ubisoft tidak bisa membantu apapun,1,0
TaTsuya Kun,10/15/2025 20:07,gw di tuduh pake vpn apaan coba ubi lembut bener dikit lah log in aja susah bener,1,0
Valen,10/15/2025 15:28,can't login,1,0
Akina Takisa,10/15/2025 14:13,ketika sedang mau login banyak masalah dan bermacam macam jenis error login. segera di perbaiki dan saya sudah malas untuk mengatasi semua error setiap hari!!!,1,2
M. Ibrahim hamid,10/15/2025 14:02,suck game 🤣,1,0
M.Harun Arrosyid,10/15/2025 13:34,"aplikasi sampah, baru login aja gabisaaa udah lebih dri 2 minggu, pke vpn aja engga malah dsuruh matiin vpn game ampass gaguna dev mikir untung doang",1,7
Yunivan Wardana,10/15/2025 13:12,is your server this bad? like your mother?,1,0
11_Fathkhun Najib,10/15/2025 13:07,"jaringan bagus, tapi sering disconnect, udah log innya susah, server penuh, jmbtt",1,0
Ambia Alexander Jailani,10/15/2025 11:49,scammmmmm,1,0
Hafizh Rochman,10/15/2025 11:34,ngk jelas ni game sekarangg hancur,1,0
Maul,10/15/2025 10:17,kembalikan game ini pada seth dan hamumu!,1,0
Taufik Gt,10/15/2025 10:15,game nya bagus tetapi masih ada masalah saat login dan terlalu banyak bot dan giliran ada youtuber come back malah di bann,3,0
Rafian Irwansyah hasan,10/15/2025 10:13,game nya bagus seru juga karna banyak pemain nyaa tapi ada sedikit sesuatu yg membuat bosan main nya karna jaringan nya hilang dikit langsung dc terus susah masuk nya karna pemain nya udh pas 95k,5,0
zildjian,10/15/2025 10:04,game aneh...akun gua ke ban terus....game kikir,1,0
NATUS VINCERE ADIVUAT,10/15/2025 9:12,game nya dh mati kah??,5,0
Akhmad hasan Syafiq,10/15/2025 9:07,"lawak nih game,gw lagi main pake spotify di suspend,emang death game buat apa di pertahanin,so buat lu yg masih main mending hapus aja nih game ga jelas banget,lawak lawak gw baru comeback malah di suspend gajelas padahal ga pake apk pihak ketiga,emang anak tiri nih game",1,0
Canada Vpn,10/15/2025 8:44,masuk nya plis cancel,1,0
NALENDRA SUDIRO,10/15/2025 8:40,"kenapa error mulu ni game akun ny tiba"" bgt ilang padahal dh bener gmail ny aneh dh main 5 tahun an masa gini kecewa berat",1,0
syauqi,10/15/2025 8:34,"ubisoft, worst dev ever",1,0
Atailah Atailah,10/15/2025 8:07,"game nya sudah membaik, para moderator sudah mulai aktif membasmi kasino dan bot bot yang berkeliaran, trus perbaiki gamenya ubisoft 👍",3,7
Muhammad Faiz,10/15/2025 7:34,"asal ban akun, padahal gk ngapain ngapain dituduh menggunakan third party programs",1,0
Zes Ryu,10/15/2025 7:13,"game yang sangat merugikan playernya dimana sering terjadi kasus ban permanent acak tanpa alasan, dan tidak bisa aju banding, sehingga banyak player yang sudah melakukan banyak top up merasa sangat dirugikan, padahal selama bermain tidak pernah melanggar aturan game nya,! mungkin menurut saya banyaknya player bot dan auto itu di sebabkan oleh hal itu agar mereka tidak merasa rugi. ( kurasa pihak growtopia tidak menyelesaikan masalah ini dari akarnya melainkan malah menambah masalahnya sendiri.",1,113
Aisyah Miji,10/15/2025 7:06,kesusahan login,1,0
bintang,10/15/2025 5:50,"apakah ada selain bintang 1 yang paling jelek? bahkan server jelek tidak bisa login menggunakan wifi saya seperti memainkan gem. rusak/baru terbit, sangat tidak layak di mainkan server buruk tidak nyaman bermain ercon ercon setiap hari, jam 6 pagi sampai jam 12 siang saya tidak bisa login server buruk, seperti bermain gem beta banyak kekurangannya buruk buruk sekali servernya👎👎",1,3
Dapa Putra,10/15/2025 5:18,gw baru nyoba ni game dh di ban setaon,1,0
Zenn Jr,10/15/2025 4:01,"please fix the server, it's useless to keep updating but the server is still lagging",1,0
Kanzz Gang,10/15/2025 3:53,fixs you server!!!!!!!!!!!,1,1
Gara sandwi,10/15/2025 3:12,susah bgt kalo mao main server eror dikira pkek vpn lah,1,0
Santi Septian,10/15/2025 2:23,good plis update againt,5,0
Rain Br,10/15/2025 1:03,"gem g ke urus,login aj g bisa pdahal udh ganti kuota atau wifi tetep error. gw tau knp rating di playstore kecil. game hama",1,0
GameNiar,10/15/2025 0:24,"kecewa banget sama server sekarang, niat pengen main lagi eh untuk login aja susah banget, yang overload lah, tapi giliran buat aku baru bisa langsung main tanpa kendala, aneh, jadi males mau main lagi",1,0
Galang Alvin.R,10/14/2025 23:31,akun saya ke ban tanpa alasan,1,0
Muawwiz 123,10/14/2025 23:15,"aku tidak menggunakan vpn tetapi kenapa selalu muncul notif ""cek internet dan pastikan tidak menggunakan vpn""?",4,0
rizal Ramadhan,10/14/2025 22:27,"nggak bisa login ke game, tolong dibenerin dulu lenk celenk",1,0
Aditya pratama,10/14/2025 20:41,the game is hard to understand and broken — i can’t even log in. please fix the login issue for users.,1,0
Iqbaale Ashary,10/14/2025 19:54,anjg ga bisa login !! server down terusssss. game rusak ga bisa login sama sekali,1,0
Erik Kurniawan,10/14/2025 18:27,server busuk,2,0
Nurhin Muhammad,10/14/2025 18:11,game keren,5,0
YT FATHAN,10/14/2025 15:48,"keamanannya kurang,akun sudah di bind masa bisa di loginin sama orang ga dikenal,world saya dan item2 lainnya pada hilang diambil orang. tolong pihak growtopia perbaiki dan tingkatkan keamanannya.",1,0
Fedrio Ferdiansyah,10/14/2025 15:30,mantap,5,0
Fatriya Aghisna,10/14/2025 14:56,please fix the bott,1,0
Stokton Hokter,10/14/2025 14:53,bagi bgl min ke world 2cinr,5,0
abdullah Naufal,10/14/2025 14:39,"server rusak, fail to login trussss, hapus aja ni game, nampung player aja ga bisa",1,0
andhika ariansyah,10/14/2025 13:43,"makin aneh aja ini game, pake simpati bisa masuk pakai tri gabisa masuk -_-",1,0
bold Diesel,10/14/2025 13:31,uda,5,0
CRB YT,10/14/2025 13:15,iya,5,0
M Fatih Wikan Nugroho,10/14/2025 12:46,"game nya bagusss bangetttt anti lagg anti bikin maslaahhh pokoknya bagussss,ku rating bintang 1 karena terlalu dan sangat sangat bagussss 🤩",1,0
AlvI Do,10/14/2025 12:46,bgl me rollbeck lol,1,0
Rizky bad,10/14/2025 11:58,server laggggg 90% bot,1,0
Widji Nurjati,10/14/2025 11:53,make more update to ban all bot,3,0
